Country,City,Lat,Lon,Date,Max Temp (F),Humidities %,Cloudinesses,Wind Speed
CN,Kashgar,39.4547,75.9797,1614229567,42.8,52,90,6.71
RU,Yagodnoye,62.55,149.6667,1614229569,-14.89,81,0,2.35
GL,Upernavik,72.7868,-56.1549,1614229570,8.51,78,60,4.59
BR,Belmonte,-15.8631,-38.8828,1614229571,75.2,88,40,2.3
SJ,Longyearbyen,78.2186,15.6401,1614229573,32.0,80,40,11.5
NZ,Tuatapere,-46.1333,167.6833,1614229575,57.99,71,54,7.0
US,Saint George,37.1041,-113.5841,1614229558,44.92,31,1,9.22
BR,Acaraú,-2.8856,-40.12,1614229579,77.56,87,85,7.74
BR,Vila Velha,-20.3297,-40.2925,1614229341,77.86,83,75,5.75
IS,Husavik,66.0449,-17.3389,1614229581,32.0,100,90,4.61
TL,Airai,-8.9266,125.4092,1614229583,63.41,100,94,3.11
RU,Tiksi,71.6872,128.8694,1614229584,-19.89,84,100,3.58
PG,Kavieng,-2.5744,150.7967,1614229585,83.59,75,99,13.58
PT,Ribeira Grande,38.5167,-28.7,1614229587,55.49,67,39,20.92
TZ,Lugoba,-6.45,38.3333,1614229321,74.8,93,100,1.52
MX,Ixtapa,20.7,-105.2,1614229589,71.29,88,90,2.39
BR,São João da Barra,-21.6403,-41.0511,1614229591,74.37,92,31,4.72
AU,Kiama,-34.6833,150.8667,1614229592,75.99,71,68,3.0
IQ,Hīt,33.6416,42.8251,1614229594,51.51,47,0,9.69
SY,Abu Samrah,35.3029,37.1841,1614229595,45.77,63,0,1.83
RU,Onega,63.9061,38.1404,1614229597,8.04,94,100,8.03
ML,Taoudenni,22.6783,-3.9836,1614229598,56.46,37,0,8.37
CN,Babu,24.4167,111.5167,1614229515,69.76,76,98,4.47
SA,Buraidah,26.326,43.975,1614229535,48.2,100,0,6.91
GW,Bubaque,11.2833,-15.8333,1614229604,76.71,65,42,10.22
BR,Castro,-24.7911,-50.0119,1614229605,60.89,97,27,3.78
RU,Nikolskoye,59.7035,30.7861,1614229606,34.5,93,90,13.42
GA,Omboué,-1.5746,9.2618,1614229608,78.46,84,100,4.83
AR,Ushuaia,-54.8,-68.3,1614229609,42.8,81,75,23.02
US,Portland,45.5234,-122.6762,1614228894,37.36,75,1,2.08
PT,Praia da Vitória,38.7333,-27.0667,1614229612,51.71,87,40,14.99
ZA,Hermanus,-34.4187,19.2345,1614229613,61.0,93,19,7.76
SA,Najrān,17.4924,44.1277,1614229615,73.4,49,0,3.31
CA,Clyde River,70.4692,-68.5914,1614229616,3.2,85,75,2.3
JP,Naze,28.3667,129.4833,1614229618,73.4,60,40,14.97
AU,Moree,-29.4667,149.85,1614229619,68.0,94,75,19.57
NZ,Kaeo,-35.1,173.7833,1614229326,75.0,60,77,8.01
RO,Oşeşti,46.7667,27.4667,1614229622,38.5,100,100,2.3
MU,Grand Baie,-20.0182,57.5802,1614229623,82.99,68,0,4.0
TZ,Dunda,-8.1167,34.25,1614229625,65.43,91,93,0.69
CA,Torbay,47.6666,-52.7314,1614229399,30.56,86,90,24.16
GE,Khani,41.9563,42.9566,1614229627,35.6,69,90,13.8
IS,Hofn,64.2539,-15.2082,1614229629,37.74,75,8,12.57
IR,Birjand,32.8663,59.2211,1614229630,46.4,57,90,11.5
BR,Aripuanã,-9.1667,-60.6333,1614229632,73.53,95,100,0.87
RU,Tilichiki,60.4667,166.1,1614229633,-15.38,89,0,9.89
ZA,Pampierstad,-27.7832,24.6877,1614229634,64.42,85,0,7.63
TD,Biltine,14.5333,20.9167,1614229636,63.28,27,26,18.1
CA,Thompson,55.7435,-97.8558,1614229453,-14.8,76,20,1.16
GB,Clevedon,51.4406,-2.8575,1614229639,46.76,93,99,4.0
ID,Ternate,0.8,127.4,1614229640,84.34,70,4,9.28
GF,Sinnamary,5.3833,-52.95,1614229643,76.8,84,53,14.9
CA,Matagami,49.7502,-77.6328,1614229645,-13.31,90,83,6.73
SE,Luleå,65.5842,22.1547,1614229646,30.2,93,0,4.61
NO,Beisfjord,68.3751,17.5988,1614229647,44.6,81,90,17.27
RU,Lavrentiya,65.5833,-171.0,1614229649,-15.65,90,72,10.09
RU,Magistral'nyy,56.1725,107.4458,1614229650,0.9,88,99,2.75
US,Sitka,57.0531,-135.33,1614229652,35.6,80,90,20.71
CD,Likasi,-10.9814,26.7333,1614229653,62.11,97,100,1.61
RU,Pevek,69.7008,170.3133,1614229654,-23.12,88,100,2.91
ID,Sabang,5.8933,95.3214,1614229656,81.21,75,47,8.99
CA,Marystown,47.1666,-55.1483,1614229566,30.52,93,41,18.66
RU,Aykhal,66.0,111.5,1614229659,-23.19,82,0,6.6
MG,Manjakandriana,-18.9167,47.8,1614229661,66.2,88,75,4.61
US,Lufkin,31.3382,-94.7291,1614229479,61.18,77,40,4.38
NZ,Hokitika,-42.7167,170.9667,1614229663,64.99,80,98,3.89
RU,Dikson,73.5069,80.5464,1614229665,-16.76,89,97,12.44
ZA,Port Elizabeth,-33.918,25.5701,1614229532,64.4,100,40,6.91
SA,Sakakah,29.9697,40.2064,1614229668,41.0,87,0,8.05
SS,Tonj,7.2737,28.6822,1614229669,68.92,22,100,4.43
MU,Grand Gaube,-20.0064,57.6608,1614229670,82.99,68,1,4.0
BR,Amarante,-6.2411,-42.8547,1614229672,73.27,94,91,3.0
AU,New Norfolk,-42.7826,147.0587,1614229673,59.13,53,75,4.0
CN,Tahe,52.3333,124.7333,1614229674,4.91,84,100,4.59
RU,Dudinka,69.4058,86.1778,1614229676,-31.79,83,31,4.09
AR,Rawson,-43.3002,-65.1023,1614229677,64.85,54,0,2.66
MU,Mahébourg,-20.4081,57.7,1614229524,77.0,94,40,6.91
SA,Riyadh,24.6877,46.7219,1614229602,55.4,67,40,14.97
MX,Puerto Madero,14.7208,-92.4215,1614229681,79.0,72,1,6.33
CA,Pangnirtung,66.1451,-65.7125,1614229683,11.05,91,98,2.48
UY,Chui,-33.6971,-53.4616,1614229685,63.88,89,0,1.68
BB,Bathsheba,13.2167,-59.5167,1614229686,75.2,64,75,23.02
PG,Port Moresby,-9.4431,147.1797,1614229687,87.8,62,40,24.16
BR,Carutapera,-1.195,-46.02,1614229689,77.02,87,46,6.53
RU,Okha,53.5739,142.9478,1614229690,7.56,93,100,12.88
RU,Kodino,63.7198,39.6447,1614229692,7.25,95,100,6.04
MX,La Huacana,18.9667,-101.8167,1614229693,57.0,67,0,3.71
IN,Nāgod,24.5667,80.6,1614229695,88.5,13,0,8.88
CA,Tuktoyaktuk,69.4541,-133.0374,1614229696,-40.0,67,1,6.91
ES,Calvià,39.5657,2.5062,1614229699,46.56,93,20,3.44
IN,Kharagpur,22.3333,87.3333,1614229701,93.15,16,0,4.14
GN,Labé,11.3182,-12.2833,1614229702,62.76,28,0,2.77
MV,Kudahuvadhoo,2.6708,72.8944,1614229704,81.81,79,75,12.24
RU,Aleksandrov Gay,50.147,48.5704,1614229705,-5.51,88,89,4.25
AR,Mar del Plata,-38.0023,-57.5575,1614229706,61.7,75,0,13.73
CD,Lusambo,-4.9667,23.45,1614229708,69.12,93,39,1.16
MY,Kuala Terengganu,5.3302,103.1408,1614229709,84.11,70,20,8.05
MX,Rosarito,32.3333,-117.0333,1614229711,54.16,82,1,4.05
US,Atchison,39.563,-95.1216,1614229713,27.3,93,1,4.29
AU,Mount Gambier,-37.8333,140.7667,1614229715,62.6,77,90,17.27
MG,Miandrivazo,-19.5167,45.4667,1614229716,78.08,83,86,0.2
ML,Tessalit,20.1986,1.0114,1614229592,52.86,42,0,9.19
CK,Avarua,-21.2078,-159.775,1614229719,80.6,83,40,9.22
RU,Pervoye Maya,56.164,44.7196,1614229721,1.2,78,90,6.71
FR,Dunkirk,51.05,2.3667,1614229722,49.3,87,100,10.89
RU,Iskateley,67.6803,53.1512,1614229723,3.0,93,100,14.2
AR,Tres Arroyos,-38.3739,-60.2798,1614229725,66.0,33,0,9.44
AR,Mercedes,-34.6515,-59.4307,1614229726,66.52,67,0,4.99
BR,Cidreira,-30.1811,-50.2056,1614229727,72.0,75,0,8.72
VN,Tuy Hoa,13.0833,109.3,1614229729,78.98,66,44,6.46
SD,Sennar,13.5691,33.5672,1614229730,62.89,27,0,17.34
RU,Chokurdakh,70.6333,147.9167,1614229731,-19.98,97,100,5.35
MX,Cabo San Lucas,22.8909,-109.9124,1614229733,66.99,58,100,10.4
US,Fortuna,40.5982,-124.1573,1614229736,40.53,93,75,4.54
NC,Moindou,-21.6924,165.677,1614229737,82.4,78,75,6.91
VN,Quang Ngai,15.1167,108.8,1614229739,80.17,65,62,7.0
RU,Chumikan,54.7183,135.315,1614229740,1.31,86,93,14.94
US,Russell,32.3502,-85.1999,1614229741,49.87,81,1,3.44
GB,Weston-super-Mare,51.346,-2.9766,1614229632,46.53,95,99,1.01
CN,Changqing,36.5575,116.7272,1614229744,42.01,78,99,11.07
MG,Anjozorobe,-18.4,47.8667,1614229745,66.2,88,75,4.61
BR,Santa Rita,-7.1139,-34.9781,1614229746,78.8,94,75,3.44
US,Brigantine,39.4101,-74.3646,1614229748,49.75,54,1,8.05
LK,Hambantota,6.1241,81.1185,1614229749,86.0,70,0,6.91
US,Fairbanks,64.8378,-147.7164,1614229591,11.86,85,75,4.74
PT,Lata,40.1629,-8.3327,1614229752,52.68,97,100,2.55
RU,Churapcha,62.0025,132.4325,1614229753,-14.46,84,66,2.3
LR,Buchanan,5.8808,-10.0467,1614229755,77.65,86,19,4.76
IN,Tura,25.5198,90.2201,1614229756,82.4,25,0,5.73
MG,Sambava,-14.2667,50.1667,1614229757,78.51,83,91,4.9
IN,Port Blair,11.6667,92.75,1614229759,82.4,83,40,2.3
AU,Port Macquarie,-31.4333,152.9167,1614229520,80.11,69,70,10.36
CN,Dali,25.7,100.1833,1614229762,62.31,37,7,7.25
RU,Verkhnevilyuysk,63.4453,120.3167,1614229763,-17.5,86,96,3.2
US,Key West,24.5557,-81.7826,1614229764,72.66,91,0,3.0
GB,Stornoway,58.2093,-6.3865,1614229766,45.18,81,75,13.8
CM,Batouri,4.4333,14.3667,1614229767,61.84,40,13,2.75
US,Meadow Lake,34.8014,-106.5436,1614229768,44.85,33,20,6.91
AU,Yulara,-25.2406,130.9889,1614229770,89.6,12,0,10.36
KZ,Beyneu,45.3167,55.2,1614229772,-0.26,88,81,12.71
GL,Qaqortoq,60.7167,-46.0333,1614229773,19.4,58,9,2.3
CA,Inuvik,68.3499,-133.7218,1614229774,-31.88,68,0,8.05
MX,Calderitas,18.55,-88.25,1614229776,75.56,82,0,9.64
LK,Badulla,6.9895,81.0557,1614229777,79.05,56,89,4.12
NO,Skjervøy,70.0311,20.9714,1614229779,39.2,70,75,12.66
CA,Iqaluit,63.7506,-68.5145,1614229780,-7.6,71,75,26.46
NZ,Ahipara,-35.1667,173.1667,1614229782,70.93,66,63,4.85
BR,Caravelas,-17.7125,-39.2481,1614229783,75.7,87,0,5.95
CN,Jijiang,29.2906,106.2542,1614229785,59.63,82,40,8.95
BR,Charqueada,-22.5097,-47.7781,1614229786,71.01,84,99,1.99
SA,Umluj,25.0213,37.2685,1614229788,65.86,43,0,17.11
AU,Ballina,-28.8667,153.5667,1614229789,80.56,74,75,16.11
RU,Leningradskiy,69.3833,178.4167,1614229791,-18.69,86,100,8.32
LY,Bani Walid,31.7566,13.9942,1614229792,49.39,91,100,5.68
CN,Huilong,31.8111,121.655,1614229795,62.01,82,100,3.0
IS,Olafsvik,64.8945,-23.7142,1614229796,35.8,84,93,11.81
VN,Vung Tau,10.346,107.0843,1614229798,78.51,73,28,7.11
DE,Walsrode,52.8667,9.6,1614229799,42.96,100,0,1.14
CN,Yakeshi,49.2833,120.7333,1614229801,6.06,92,98,7.18
CN,Beihai,21.4833,109.1,1614229803,72.57,82,69,13.2
BR,Arraial do Cabo,-22.9661,-42.0278,1614229804,73.4,94,0,3.44
ES,Los Llanos de Aridane,28.6585,-17.9182,1614229806,60.4,94,75,18.41
IN,Māngrol,21.1167,70.1167,1614229807,79.32,53,0,9.66
RU,Svetlaya,46.5389,138.3297,1614229809,16.77,84,3,4.23
RU,Vanavara,60.34,102.2797,1614229810,-9.94,86,4,4.97
RU,Tazovsky,67.4667,78.7,1614229812,-22.32,87,99,2.82
BF,Dano,11.15,-3.0667,1614229813,68.68,21,34,6.2
RU,Kondinskoye,59.6481,67.41,1614229814,-22.49,86,60,7.99
PL,Kalisz,51.7611,18.091,1614229816,44.01,78,0,5.48
MW,Chikwawa,-16.0335,34.8009,1614229817,75.29,87,48,0.25
US,Price,39.5994,-110.8107,1614229819,26.6,43,1,9.22
GL,Aasiaat,68.7098,-52.8699,1614229821,2.01,62,0,7.2
AR,General Roca,-39.0333,-67.5833,1614229822,60.8,82,0,6.6
MY,Bintulu,3.1667,113.0333,1614229824,86.0,70,40,5.75
RU,Insar,53.8653,44.3738,1614229825,1.24,93,100,14.61
LR,Harper,4.375,-7.7169,1614229828,77.68,87,3,5.93
TR,Çumra,37.5732,32.7745,1614229829,33.8,69,40,8.05
RU,Bilibino,68.0546,166.4372,1614229831,-26.32,83,49,1.28
BF,Solenzo,12.1833,-4.0833,1614229832,66.92,20,6,8.79
BR,Rio Pomba,-21.2747,-43.1792,1614229833,64.99,92,31,1.01
MU,Souillac,-20.5167,57.5167,1614229835,78.8,83,40,9.22
AU,Port Lincoln,-34.7333,135.8667,1614229836,66.02,58,82,13.4
JP,Katsuura,35.1333,140.3,1614229837,48.07,34,20,3.44
PK,Dalbandin,28.8947,64.4101,1614229839,70.83,22,0,9.8
OM,Sur,22.5667,59.5289,1614229840,83.8,38,0,2.37
ZA,Port Shepstone,-30.7414,30.455,1614229841,71.51,87,99,3.27
RE,Saint-Philippe,-21.3585,55.7679,1614229843,79.74,51,0,5.75
AU,Geraldton,-28.7667,114.6,1614229845,80.6,61,0,10.36
HR,Omiš,43.4447,16.6886,1614229846,46.4,87,0,1.14
TR,Çine,37.6117,28.0614,1614229848,41.0,75,2,3.44
ID,Meulaboh,4.1363,96.1285,1614229850,86.7,60,35,6.11
RU,Batagay-Alyta,67.8006,130.4114,1614229851,-13.5,86,100,2.35
AR,Río Gallegos,-51.6226,-69.2181,1614229787,51.8,66,0,17.27
OM,Salalah,17.0151,54.0924,1614229856,77.0,57,0,3.44
CA,Norman Wells,65.282,-126.8329,1614229858,-5.8,77,90,3.44
RU,Yar-Sale,66.8333,70.8333,1614229860,-8.48,90,92,2.35
ZA,Richards Bay,-28.783,32.0377,1614229862,73.4,90,98,5.66
US,Kingman,35.1894,-114.053,1614229864,49.08,16,1,16.11
ES,Aras,42.5617,-2.356,1614229865,47.71,93,90,10.36
US,Makakilo City,21.3469,-158.0858,1614229867,74.8,60,1,8.05
RU,Ostrovnoy,68.0531,39.5131,1614229868,7.38,89,100,18.41
BO,La Santisima Trinidad,-14.8333,-64.9,1614229870,74.55,94,100,3.83
RU,Okhotsk,59.3833,143.3,1614229872,3.81,87,72,7.67
BB,Oistins,13.0667,-59.5333,1614229580,75.2,64,75,23.02
NO,Mehamn,71.0357,27.8492,1614229874,33.8,86,75,23.02
CV,São Filipe,14.8961,-24.4956,1614229876,71.15,70,0,9.78
CA,Smithers,54.7804,-127.1743,1614229877,26.6,93,90,5.75
PH,Marawi,7.9986,124.2928,1614229878,82.99,81,92,8.01
MX,Santa María del Río,21.8,-100.75,1614229880,64.4,34,20,8.05
AU,Bongaree,-27.0797,153.1586,1614229881,84.06,42,19,4.0
BO,Chimoré,-16.9833,-65.1333,1614229883,74.19,90,99,2.33
AU,Byron Bay,-28.65,153.6167,1614229885,79.86,74,75,16.11
AU,Flinders,-34.5833,150.8552,1614229887,77.0,65,40,9.22
US,Bethel,41.3712,-73.414,1614229888,44.1,61,90,8.05
MR,Nouadhibou,20.931,-17.0347,1614229889,62.6,77,0,8.05
ZA,Kruisfontein,-34.0033,24.7314,1614229891,63.0,93,97,3.18
AU,Esperance,-33.8667,121.9,1614229892,80.6,39,0,14.97
ML,Kangaba,11.9333,-8.4167,1614229637,69.98,13,0,4.7
RU,Togur,58.3631,82.8265,1614229896,-5.85,90,100,2.35
NG,Lafia,8.4833,8.5167,1614229864,72.52,24,46,1.63
JP,Itoman,26.1247,127.6694,1614229898,74.59,69,75,20.71
RU,Tyrma,50.0833,132.1667,1614229900,5.65,85,84,3.76
RE,Saint-Pierre,-21.3393,55.4781,1614229901,79.84,51,0,5.75
LK,Matara,5.9485,80.5353,1614229902,87.04,60,50,4.7
LY,Darnah,32.767,22.6367,1614229903,57.97,76,0,21.05
GL,Narsaq,60.9167,-46.05,1614229905,19.4,58,2,2.3
NZ,Te Anau,-45.4167,167.7167,1614229906,63.97,51,51,0.63
PF,Faanui,-16.4833,-151.75,1614229908,82.02,73,56,9.84
ZA,Stutterheim,-32.5708,27.424,1614229909,66.2,88,75,6.91
ID,Cirebon,-6.7063,108.557,1614229671,83.03,77,100,19.26
RU,Tara,56.8944,74.371,1614229913,-8.75,89,100,7.05
US,College,64.8569,-147.8028,1614229914,11.86,79,90,3.44
NO,Vardø,70.3705,31.1107,1614229916,24.8,86,75,18.41
VU,Isangel,-19.55,169.2667,1614229918,82.96,71,58,12.64
CA,Fort Nelson,58.8053,-122.7002,1614229919,28.4,50,90,2.98
GL,Nanortalik,60.1432,-45.2371,1614229921,23.52,72,5,7.72
MX,Guerrero Negro,27.9769,-114.0611,1614229922,58.6,77,100,11.7
MU,Bambous Virieux,-20.3428,57.7575,1614229923,80.73,83,40,9.22
ES,Las Palmas,28.4204,-14.0131,1614229814,64.4,77,20,19.57
US,Fairview,40.8126,-73.999,1614229927,46.72,61,90,8.05
PT,Camacha,33.0833,-16.3333,1614229929,57.2,72,20,14.97
MV,Hithadhoo,-0.6,73.0833,1614229930,82.45,73,78,8.1
TM,Gazojak,41.1875,61.4036,1614229931,14.49,45,0,13.76
MX,Coahuayana Viejo,18.7333,-103.6833,1614229934,69.35,72,39,2.28
SE,Kiruna,67.8557,20.2251,1614229936,28.4,93,100,16.11
CA,Assiniboia,49.6334,-105.9845,1614229938,15.8,86,40,12.66
RU,Kuvshinovo,57.0295,34.1725,1614229940,37.24,98,100,10.2
US,Fergus Falls,46.283,-96.0776,1614229867,26.6,93,90,14.97
NO,Sørland,67.667,12.6934,1614229943,43.21,91,99,22.64
IS,Vestmannaeyjar,63.4427,-20.2734,1614229944,38.21,75,16,8.48
UZ,Muborak,39.2553,65.1528,1614229946,22.46,58,22,4.29
RU,Kosino,58.4127,51.2782,1614229947,-13.86,89,52,5.21
AU,Karratha,-20.7377,116.8463,1614229949,98.37,34,0,12.21
DK,Tinglev,54.931,9.2524,1614229950,49.71,71,83,13.8
BR,Maragogi,-9.0122,-35.2225,1614229881,77.61,83,81,6.17
GB,Herne Bay,51.373,1.1286,1614229953,51.3,83,99,1.01
RU,Kudymkar,59.0173,54.656,1614229954,-14.58,92,0,2.82
PT,Lagoa,39.05,-27.9833,1614229956,54.63,67,100,20.07
PE,Hualmay,-11.0964,-77.6139,1614229957,70.66,76,38,4.81
AU,Alice Springs,-23.7,133.8833,1614229938,86.56,10,0,14.97
GL,Tasiilaq,65.6145,-37.6368,1614229888,28.4,69,90,5.75
VU,Sola,-13.8833,167.55,1614229963,82.99,80,100,12.95
FO,Klaksvík,62.2266,-6.589,1614229965,44.6,100,75,10.36
NC,Poum,-20.2333,164.0167,1614229966,81.77,72,54,5.73
ZA,Saldanha,-33.0117,17.9442,1614229968,60.8,82,0,10.36
US,Key Largo,25.0865,-80.4473,1614229792,72.0,92,0,9.55
US,‘Āhuimanu,21.4447,-157.8378,1614229971,74.32,60,75,19.57
CN,Tongchuanshi,35.0806,109.0897,1614229972,35.26,94,100,1.1
TZ,Kasamwa,-2.85,32.4333,1614229975,63.99,92,100,3.85
US,Boulder,40.0833,-105.3505,1614229599,22.55,100,90,4.61
SE,Skellefteå,64.7507,20.9528,1614229978,32.0,93,0,6.91
ID,Gondanglegi,-7.7479,112.0132,1614229980,82.83,81,92,11.23
PT,Ponta do Sol,32.6667,-17.1,1614229981,51.24,56,16,3.0
PH,Pandan,14.0453,124.1694,1614229983,84.29,62,86,5.5
SB,Auki,-8.7676,160.7034,1614229984,81.25,86,100,11.99
GB,Warrington,53.3925,-2.5802,1614229986,44.76,87,100,5.75
US,Brandon,27.9378,-82.2859,1614229987,54.88,93,1,4.21
BR,Pontes e Lacerda,-15.2261,-59.3353,1614229988,73.78,90,92,1.7
MX,San Quintín,30.4833,-115.95,1614229990,57.15,81,48,3.71
CN,Altay,47.8667,88.1167,1614229991,27.52,95,100,7.16
GH,Prestea,5.4327,-2.1428,1614229992,74.48,94,32,3.65
BR,Amapá,1.0,-52.0,1614229994,71.62,98,89,2.17
TR,İdil,37.3411,41.8895,1614229995,41.0,60,0,8.05
RU,Vilyuysk,63.7553,121.6247,1614229997,-19.21,86,72,3.4
ID,Atambua,-9.1061,124.8925,1614229998,75.38,88,100,3.53
